coverage,accuracy_shifted
0.7131,0.9120
0.7136,0.9120
0.7141,0.9121
0.7147,0.9122
0.7152,0.9122
0.7157,0.9123
0.7162,0.9116
0.7168,0.9117
0.7173,0.9118
0.7178,0.9111
0.7184,0.9112
0.7189,0.9105
0.7194,0.9106
0.7199,0.9099
0.7205,0.9100
0.7210,0.9100
0.7215,0.9094
0.7220,0.9094
0.7226,0.9095
0.7231,0.9096
0.7236,0.9089
0.7242,0.9082
0.7247,0.9076
0.7252,0.9076
0.7257,0.9077
0.7263,0.9070
0.7268,0.9071
0.7273,0.9072
0.7278,0.9072
0.7284,0.9066
0.7289,0.9067
0.7294,0.9067
0.7300,0.9068
0.7305,0.9069
0.7310,0.9069
0.7315,0.9063
0.7321,0.9063
0.7326,0.9064
0.7331,0.9058
